prec, nct, hcm, fda, run_time
float, 0, false, false, 613
double, 0, false, false, 1094
float, 2, false, false, 1001
double, 2, false, false, 1932
float, 4, false, false, 671
double, 4, false, false, 1221
float, 8, false, false, 510
double, 8, false, false, 951
float, 16, false, false, 553
double, 16, false, false, 845
float, 0, true, false, 563
double, 0, true, false, 1015
float, 2, true, false, 971
double, 2, true, false, 1923
float, 4, true, false, 661
double, 4, true, false, 1222
float, 8, true, false, 500
double, 8, true, false, 951
float, 16, true, false, 564
double, 16, true, false, 1015
float, 0, false, true, 1762
double, 0, false, true, 3425
float, 2, false, true, 1762
double, 2, false, true, 3435
float, 4, false, true, 1752
double, 4, false, true, 3404
float, 8, false, true, 1752
double, 8, false, true, 3404
float, 16, false, true, 1752
double, 16, false, true, 3414
float, 0, true, true, 1762
double, 0, true, true, 3384
float, 2, true, true, 1752
double, 2, true, true, 3384
float, 4, true, true, 1752
double, 4, true, true, 3384
float, 8, true, true, 1752
double, 8, true, true, 3394
float, 16, true, true, 1772
double, 16, true, true, 3405
