mcwn, mcpn, mcnn, meei, run_time
ThreadedEnginePerDevice, 1, 1, 15, 189
ThreadedEnginePerDevice, 1, 1, 10, 191
ThreadedEnginePerDevice, 1, 1, 5, 187
ThreadedEnginePerDevice, 1, 1, 1, 193
ThreadedEnginePerDevice, 1, 0, 15, 204
ThreadedEnginePerDevice, 1, 0, 10, 202
ThreadedEnginePerDevice, 1, 0, 5, 184
ThreadedEnginePerDevice, 1, 0, 1, 201
ThreadedEnginePerDevice, 0, 1, 15, 197
ThreadedEnginePerDevice, 0, 1, 10, 189
ThreadedEnginePerDevice, 0, 1, 5, 203
ThreadedEnginePerDevice, 0, 1, 1, 191
ThreadedEnginePerDevice, 0, 0, 15, 187
ThreadedEnginePerDevice, 0, 0, 10, 187
ThreadedEnginePerDevice, 0, 0, 5, 183
ThreadedEnginePerDevice, 0, 0, 1, 201
NaiveEngine, 1, 1, 15, 197
NaiveEngine, 1, 1, 10, 196
NaiveEngine, 1, 1, 5, 191
NaiveEngine, 1, 1, 1, 193
NaiveEngine, 1, 0, 15, 187
NaiveEngine, 1, 0, 10, 187
NaiveEngine, 1, 0, 5, 189
NaiveEngine, 1, 0, 1, 189
NaiveEngine, 0, 1, 15, 191
NaiveEngine, 0, 1, 10, 195
NaiveEngine, 0, 1, 5, 189
NaiveEngine, 0, 1, 1, 197
NaiveEngine, 0, 0, 15, 191
NaiveEngine, 0, 0, 10, 184
NaiveEngine, 0, 0, 5, 185
NaiveEngine, 0, 0, 1, 191
ThreadedEngine, 1, 1, 15, 211
ThreadedEngine, 1, 1, 10, 212
ThreadedEngine, 1, 1, 5, 209
ThreadedEngine, 1, 1, 1, 216
ThreadedEngine, 1, 0, 15, 226
ThreadedEngine, 1, 0, 10, 229
ThreadedEngine, 1, 0, 5, 224
ThreadedEngine, 1, 0, 1, 227
ThreadedEngine, 0, 1, 15, 208
ThreadedEngine, 0, 1, 10, 210
ThreadedEngine, 0, 1, 5, 209
ThreadedEngine, 0, 1, 1, 215
ThreadedEngine, 0, 0, 15, 227
ThreadedEngine, 0, 0, 10, 227
ThreadedEngine, 0, 0, 5, 225
ThreadedEngine, 0, 0, 1, 227
