mkrn, mkbb, mku, mktab, mktb, mktlup, run_time
4, 1000000, 0, 10000000, 0, 0.7, 187
4, 1000000, 1, 10000000, 0, 0.7, 199
4, 1000000, 1, 10000000, 0, 0.3, 189
4, 1000000, 1, 10000000, 1, 0.7, 191
4, 1000000, 1, 10000000, 1, 0.3, 188
4, 1000000, 1, 100, 0, 0.7, 203
4, 1000000, 1, 100, 0, 0.3, 185
4, 1000000, 1, 100, 1, 0.7, 197
4, 1000000, 1, 100, 1, 0.3, 191
4, 100, 0, 10000000, 0, 0.7, 193
4, 100, 1, 10000000, 0, 0.7, 189
4, 100, 1, 10000000, 0, 0.3, 213
4, 100, 1, 10000000, 1, 0.7, 193
4, 100, 1, 10000000, 1, 0.3, 195
4, 100, 1, 100, 0, 0.7, 199
4, 100, 1, 100, 0, 0.3, 187
4, 100, 1, 100, 1, 0.7, 201
4, 100, 1, 100, 1, 0.3, 189
1, 1000000, 0, 10000000, 0, 0.7, 189
1, 1000000, 1, 10000000, 0, 0.7, 215
1, 1000000, 1, 10000000, 0, 0.3, 195
1, 1000000, 1, 10000000, 1, 0.7, 201
1, 1000000, 1, 10000000, 1, 0.3, 225
1, 1000000, 1, 100, 0, 0.7, 215
1, 1000000, 1, 100, 0, 0.3, 191
1, 1000000, 1, 100, 1, 0.7, 185
1, 1000000, 1, 100, 1, 0.3, 209
1, 100, 0, 10000000, 0, 0.7, 185
1, 100, 1, 10000000, 0, 0.7, 185
1, 100, 1, 10000000, 0, 0.3, 189
1, 100, 1, 10000000, 1, 0.7, 193
1, 100, 1, 10000000, 1, 0.3, 203
1, 100, 1, 100, 0, 0.7, 197
1, 100, 1, 100, 0, 0.3, 209
1, 100, 1, 100, 1, 0.7, 193
1, 100, 1, 100, 1, 0.3, 187
2, 1000000, 0, 10000000, 0, 0.7, 193
2, 1000000, 1, 10000000, 0, 0.7, 191
2, 1000000, 1, 10000000, 0, 0.3, 187
2, 1000000, 1, 10000000, 1, 0.7, 183
2, 1000000, 1, 10000000, 1, 0.3, 183
2, 1000000, 1, 100, 0, 0.7, 189
2, 1000000, 1, 100, 0, 0.3, 211
2, 1000000, 1, 100, 1, 0.7, 229
2, 1000000, 1, 100, 1, 0.3, 205
2, 100, 0, 10000000, 0, 0.7, 208
2, 100, 1, 10000000, 0, 0.7, 182
2, 100, 1, 10000000, 0, 0.3, 191
2, 100, 1, 10000000, 1, 0.7, 201
2, 100, 1, 10000000, 1, 0.3, 193
2, 100, 1, 100, 0, 0.7, 203
2, 100, 1, 100, 0, 0.3, 192
2, 100, 1, 100, 1, 0.7, 188
2, 100, 1, 100, 1, 0.3, 203
8, 1000000, 0, 10000000, 0, 0.7, 182
8, 1000000, 1, 10000000, 0, 0.7, 191
8, 1000000, 1, 10000000, 0, 0.3, 195
8, 1000000, 1, 10000000, 1, 0.7, 185
8, 1000000, 1, 10000000, 1, 0.3, 197
8, 1000000, 1, 100, 0, 0.7, 199
8, 1000000, 1, 100, 0, 0.3, 195
8, 1000000, 1, 100, 1, 0.7, 191
8, 1000000, 1, 100, 1, 0.3, 222
8, 100, 0, 10000000, 0, 0.7, 205
8, 100, 1, 10000000, 0, 0.7, 191
8, 100, 1, 10000000, 0, 0.3, 209
8, 100, 1, 10000000, 1, 0.7, 213
8, 100, 1, 10000000, 1, 0.3, 207
8, 100, 1, 100, 0, 0.7, 223
8, 100, 1, 100, 0, 0.3, 201
8, 100, 1, 100, 1, 0.7, 185
8, 100, 1, 100, 1, 0.3, 187
