mcwn, mcpn, mcnn, meei, run_time
1, 4, 4, true, 181
1, 4, 4, false, 260
1, 4, 1, true, 200
1, 4, 1, false, 250
1, 4, 2, true, 241
1, 4, 2, false, 250
1, 4, 8, true, 280
1, 4, 8, false, 240
1, 1, 4, true, 251
1, 1, 4, false, 190
1, 1, 1, true, 260
1, 1, 1, false, 230
1, 1, 2, true, 201
1, 1, 2, false, 240
1, 1, 8, true, 190
1, 1, 8, false, 270
1, 2, 4, true, 191
1, 2, 4, false, 190
1, 2, 1, true, 250
1, 2, 1, false, 190
1, 2, 2, true, 251
1, 2, 2, false, 190
1, 2, 8, true, 190
1, 2, 8, false, 190
1, 8, 4, true, 180
1, 8, 4, false, 241
1, 8, 1, true, 250
1, 8, 1, false, 180
1, 8, 2, true, 270
1, 8, 2, false, 251
2, 4, 4, true, 220
2, 4, 4, false, 290
2, 4, 1, true, 291
2, 4, 1, false, 310
2, 4, 2, true, 301
2, 4, 2, false, 270
2, 4, 8, true, 290
2, 4, 8, false, 221
2, 1, 4, true, 210
2, 1, 4, false, 280
2, 1, 1, true, 211
2, 1, 1, false, 290
2, 1, 2, true, 300
2, 1, 2, false, 221
2, 1, 8, true, 280
2, 1, 8, false, 270
2, 2, 4, true, 271
2, 2, 4, false, 290
2, 2, 1, true, 221
2, 2, 1, false, 220
2, 2, 2, true, 220
2, 2, 2, false, 270
2, 2, 8, true, 300
2, 2, 8, false, 220
2, 8, 4, true, 291
2, 8, 4, false, 210
2, 8, 1, true, 210
2, 8, 1, false, 211
2, 8, 2, true, 270
2, 8, 2, false, 220
4, 4, 4, true, 231
4, 4, 4, false, 240
4, 4, 1, true, 230
4, 4, 1, false, 231
4, 4, 2, true, 240
4, 4, 2, false, 311
4, 4, 8, true, 321
4, 4, 8, false, 300
4, 1, 4, true, 230
4, 1, 4, false, 301
4, 1, 1, true, 240
4, 1, 1, false, 311
4, 1, 2, true, 240
4, 1, 2, false, 231
4, 1, 8, true, 300
4, 1, 8, false, 240
4, 2, 4, true, 231
4, 2, 4, false, 240
4, 2, 1, true, 240
4, 2, 1, false, 230
4, 2, 2, true, 300
4, 2, 2, false, 230
4, 2, 8, true, 300
4, 2, 8, false, 230
4, 8, 4, true, 311
4, 8, 4, false, 300
4, 8, 1, true, 231
4, 8, 1, false, 240
4, 8, 2, true, 310
4, 8, 2, false, 231
8, 4, 4, true, 240
8, 4, 4, false, 240
8, 4, 1, true, 251
8, 4, 1, false, 250
8, 4, 2, true, 240
8, 4, 2, false, 310
8, 1, 4, true, 300
8, 1, 4, false, 251
8, 1, 1, true, 250
8, 1, 1, false, 321
8, 1, 2, true, 320
8, 1, 2, false, 241
8, 2, 4, true, 250
8, 2, 4, false, 300
8, 2, 1, true, 301
8, 2, 1, false, 240
8, 2, 2, true, 241
8, 2, 2, false, 240
