met, mebei, mebet, mkrn, run_time
ThreadedEnginePerDevice, 1, 1, 4, 5606
ThreadedEnginePerDevice, 1, 1, 1, 5617
ThreadedEnginePerDevice, 1, 1, 2, 5586
ThreadedEnginePerDevice, 1, 1, 8, 5627
ThreadedEnginePerDevice, 1, 0, 4, 5586
ThreadedEnginePerDevice, 1, 0, 1, 5617
ThreadedEnginePerDevice, 1, 0, 2, 5616
ThreadedEnginePerDevice, 1, 0, 8, 5587
ThreadedEnginePerDevice, 0, 1, 4, 5647
ThreadedEnginePerDevice, 0, 1, 1, 5596
ThreadedEnginePerDevice, 0, 1, 2, 5677
ThreadedEnginePerDevice, 0, 1, 8, 5607
ThreadedEnginePerDevice, 0, 0, 4, 5577
met, mebei, mebet, mkrn, run_time
NaiveEngine, 1, 1, 4, 5447
NaiveEngine, 1, 1, 1, 5416
NaiveEngine, 1, 1, 2, 5416
NaiveEngine, 1, 1, 8, 5427
NaiveEngine, 1, 0, 4, 5406
NaiveEngine, 1, 0, 1, 5427
NaiveEngine, 1, 0, 2, 5406
NaiveEngine, 1, 0, 8, 5407
NaiveEngine, 0, 1, 4, 5416
NaiveEngine, 0, 1, 1, 5427
NaiveEngine, 0, 1, 2, 5426
NaiveEngine, 0, 1, 8, 5407
NaiveEngine, 0, 0, 4, 5447
NaiveEngine, 0, 0, 1, 5397
NaiveEngine, 0, 0, 2, 5406
NaiveEngine, 0, 0, 8, 5427
ThreadedEnginePerDevice, 1, 1, 4, 5347
ThreadedEnginePerDevice, 1, 1, 1, 5346
ThreadedEnginePerDevice, 1, 1, 2, 5357
ThreadedEnginePerDevice, 1, 1, 8, 5357
ThreadedEnginePerDevice, 1, 0, 4, 5337
ThreadedEnginePerDevice, 1, 0, 1, 5326
ThreadedEnginePerDevice, 1, 0, 2, 5327
ThreadedEnginePerDevice, 1, 0, 8, 5327
ThreadedEnginePerDevice, 0, 1, 4, 5347
ThreadedEnginePerDevice, 0, 1, 1, 5337
ThreadedEnginePerDevice, 0, 1, 2, 5337
ThreadedEnginePerDevice, 0, 1, 8, 5327
ThreadedEnginePerDevice, 0, 0, 4, 5327
ThreadedEnginePerDevice, 0, 0, 1, 5327
ThreadedEnginePerDevice, 0, 0, 2, 5337
ThreadedEnginePerDevice, 0, 0, 8, 5337
